Наименование;Код продукции;Статус заказа;Дата отгрузки;Номер заказа;Покупатель;Количество
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;29 июня 2026 г.;НФ00-003181;Покупатель 14;3192
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;13 февраля 2026 г.;НФ00-003188;Покупатель 14;2225
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;13 февраля 2026 г.;НФ00-003184;Покупатель 14;5080
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;13 февраля 2026 г.;НФ00-003178;Покупатель 14;5700
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;30 марта 2026 г.;НФ00-003148;Покупатель 15;68
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 февраля 2026 г.;НФ00-003147;Покупатель 15;104
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;30 января 2026 г.;НФ00-003143;Покупатель 15;68
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003975;Покупатель 16;446
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003970;Покупатель 16;864
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003969;Покупатель 16;576
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;26 января 2026 г.;НФ00-003968;Покупатель 16;1536
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;23 января 2026 г.;НФ00-004094;Покупатель 17;150
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;19 января 2026 г.;НФ00-004110;Покупатель 18;33
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;16 января 2026 г.;НФ00-004133;Покупатель 19;80
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;16 января 2026 г.;НФ00-004130;Покупатель 20;150
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;Отгрузить;27 февраля 2026 г.;НФ00-003440;Покупатель 21;1050
GECO Крем гидрофобный СП, 100 мл, Лам, Винт;00-000967;В работе;15 января 2026 г.;НФ00-004024;Покупатель 21;336
